1;mojombo;San Francisco;19360;60;{'Shell': 28247, 'CSS': 40689, 'Groff': 1013, 'HTML': 67924, 'JavaScript': 2385192, 'CoffeeScript': 2592, 'Emacs Lisp': 4389, 'Erlang': 964166, 'Java': 3585, 'Makefile': 19276, 'Ruby': 911663, 'C++': 3138129, 'Python': 62005, 'Perl': 1552, 'C': 119069}
2;defunkt;San Francisco;15464;107;{'PHP': 2333, 'Shell': 56563, 'CSS': 1596, 'Groff': 5648, 'HTML': 4055, 'JavaScript': 328598, 'CoffeeScript': 16639, 'Io': 2301, 'ooc': 841, 'Objective-C': 1982, 'Emacs Lisp': 855781, 'Makefile': 12289, 'Ruby': 1163207, 'Python': 253067, 'Ragel in Ruby Host': 30504, 'Perl': 33001, 'C': 107069}
3;pjhyett;San Francisco;8178;8;{'Ruby': 53587, 'JavaScript': 26152}
4;wycats;San Francisco;7397;191;{'Yacc': 4267, 'PHP': 857, 'Shell': 1031, 'CSS': 60387, 'HTML': 98256, 'JavaScript': 2822418, 'CoffeeScript': 916, 'TypeScript': 529, 'Java': 34151, 'Rust': 113951, 'Handlebars': 605, 'Ruby': 11171968, 'Lex': 5130, 'Perl': 102, 'C': 297903}
5;ezmobius;In the NW;437;22;{'C++': 524, 'Shell': 7619, 'Ruby': 608047, 'JavaScript': 33294, 'Perl': 13731, 'Scheme': 4915, 'C': 2942064}
6;ivey;Bay Minette, AL;69;82;{'Clojure': 10218, 'PHP': 857, 'Ruby': 988350, 'JavaScript': 18786, 'Objective-C': 192, 'Go': 17495, 'C++': 21469}
7;evanphx;Los Angeles, CA;943;121;{'Shell': 948292, 'CSS': 59692, 'Delphi': 42411, 'JavaScript': 84794, 'Smalltalk': 248, 'XSLT': 825277, 'Go': 797400, 'Java': 140718, 'VimL': 1319, 'Ruby': 1271950, 'C++': 58460707, 'Python': 974741, 'C#': 64255, 'Assembly': 3056693, 'C': 106015948, 'TypeScript': 30429941, 'PHP': 8204, 'D': 14864, 'HTML': 135398, 'Perl': 142967, 'CoffeeScript': 422, 'Ada': 88714, 'Visual Basic': 79483, 'Protocol Buffer': 1978, 'Objective-C': 897776, 'CLIPS': 5291, 'Thrift': 6659, 'Prolog': 3038, 'Puppet': 61300}
17;vanpelt;San Francisco;55;33;{'Objective-C': 53455, 'Shell': 45, 'CSS': 15027, 'HTML': 2697, 'Ruby': 70815, 'JavaScript': 736598}
18;wayneeseguin;Buffalo, NY;630;92;{'Go': 9845, 'Shell': 79584, 'HTML': 767, 'Ruby': 2710089, 'JavaScript': 673606, 'R': 9948, 'C': 4108000}
19;brynary;New York City;543;160;{'Cucumber': 4568, 'Python': 3490, 'Go': 2255, 'Shell': 4386, 'Ruby': 731369, 'JavaScript': 11708, 'Objective-C': 2760, 'AppleScript': 1241}
