id;username;location;followers;public_repos;languages
804;apod;Athens, Greece;9;21;{'VimL': 80972, 'Ruby': 1366, 'Clojure': 21840, 'Shell': 7786, 'Emacs Lisp': 67054}
1493;bandito;Athens, Greece;37;14;{'Ruby': 28000}
1865;ctrochalakis;Athens, Greece;58;46;{'Emacs Lisp': 976308, 'HTML': 8182, 'Ruby': 9947, 'JavaScript': 55056, 'Python': 226785, 'C': 4537}
2536;nikosd;Athens, Greece;41;29;{'PHP': 39462, 'Shell': 784, 'Java': 12137, 'Ruby': 27921, 'JavaScript': 19468, 'CoffeeScript': 229}
454617;anglen;Athens;2;0;{}
456061;dtheodorakis;Athens - Greece;5;5;{'Ruby': 2645}
456717;renjinsk;Thessaloniki - Greece;1;0;{}
457547;davidoster;Athens - Greece;5;82;{'ActionScript': 15982, 'PHP': 1949619, 'JavaScript': 1581821}
457635;docie;Athens;0;0;{}
457955;billtrik;Greece;14;14;{'C': 23890, 'VimL': 248790, 'Ruby': 61356, 'HTML': 11773, 'CSS': 197960, 'Shell': 2412, 'CoffeeScript': 79399, 'JavaScript': 114499, 'Makefile': 5487}
458813;thanpolas;Thessaloniki - Greece;140;163;{'Shell': 65261, 'C++': 425495, 'Java': 6083, 'Lua': 13768, 'CoffeeScript': 3758, 'Scheme': 10604, 'CSS': 263827, 'Perl': 323104, 'Ruby': 10752, 'HTML': 109934, 'Python': 5005313, 'JavaScript': 4747033}
459173;djapal;Greece;3;10;{'TypeScript': 20735, 'Java': 36640, 'JavaScript': 13835, 'HTML': 12900, 'CSS': 5619}
459334;eliotgr;Greece;0;0;{}
461043;balaf;Athens - Greece;13;7;{'JavaScript': 314643, 'Haskell': 5539, 'CSS': 8018}
470064;kokeroulis;Greece;8;16;{'Makefile': 502, 'JavaScript': 10199, 'Java': 254423, 'Go': 134594, 'VimL': 13279, 'Shell': 6524}
