username,location,followers
Tom Preston-Werner,San Francisco,19354
Chris Wanstrath,San Francisco,15459
PJ Hyett,San Francisco,8178
Yehuda Katz,San Francisco,7395
Ezra Zygmuntowicz,In the NW,437
Michael D. Ivey,Bay Minette, AL,69
Evan Phoenix,Los Angeles, CA,942
Chris Van Pelt,San Francisco,55
Wayne E. Seguin,Buffalo, NY,629
Bryan Helmkamp,New York City,543
risk danger olson,Louisville, CO,2292
Marc-Andr Cournoyer,Montreal, QC, Canada,787
Toby Sterrett,Portland, OR,60
Justin Palmer,Portland, OR,1068
Geoffrey Grosenbach,Seattle, USA,1120
Jesse Andrews,San Francisco, CA,126
Roland Mai,Bloomington, IN,4
Lukas Biewald,San Francisco,11
Tom ten Thij,Amsterdam,23
Kevin Williams,Denver, CO,26
Dave Fayram,San Francisco, CA,291
James Golick,New York,575
Corey Donohoe,Potrero, SF,990
Seth Fitzsimmons,Seattle, WA,288
Jesse Newland,Austin, TX,451
Josh Knowles,New York, NY,90
John Hornbeck,Lawton, OK,49
Jeff Whitmire,Rochester, NY,32
Michael Buffington,Portland, OR,17
Rein Henrichs,Portland, OR,156
Kenzi Connor,San Francisco, CA,54
Britt Selvitelle,San Fransico, CA,92
Rob Sanheim,Madison, WI, NORTH AMERICA,154
Scott Chacon,San Francisco, CA,10984
Eivind Uggedal,Oslo, Norway,156
Bruce Williams,Portland, OR,128
Sam Smoot,Dallas, TX,110
Matt Mower,Berkshire, England,47
Abhay Kumar,San Francisco, CA,41
rabble,PDX,114
Ben Burkert,SF,146
Andr Arko,San Francisco,601
Jamie van Dyke,Skipton, UK,31
Engine Yard, Inc.,San Francisco, CA,0
Joshua Sierles,Sevilla, Spain,158
Taylor Weibley,Florida,23
E. James OKelly,Palm Springs, CA,4
Brian Shirai,Portland, OR,305
Tom Mornini,San Francisco,30
Lee Jensen,SL,UT,13
Randall Thomas,San Francisco, CA, USA,38
Simon Rozet,Brussels, Belgium,441
Pratik,Plano, TX,485
Russell Norris,Atlanta, GA,55
Ian Ownbey,San Francisco, CA,43
Dylan Egan,Berlin, Germany,85
Jeremy McAnally,Orlando, FL,480
Kevin Marsh,Toledo, OH,36
Jayson Vantuyl,San Francisco, California, USA,27
Brian Smith,Santa Monica,CA,69
Edward Muller,Beaverton, OR,77
Daniel Neighman,San Francisco,254
automatthew,,60
Josh Owens,Cincinnati, Oh,283
Lance Carlson,Ann Arbor, MI,67
Dr Nic Williams,Palo Alto, CA, USA,1506
Luke Matthew Sutton,South Australia,32
Dan Web,London,297
Hampton Catlin,San Francisco, CA,444
Matt Aimonetti,Santa Monica, CA,744
Caleb Tennis,Columbus Indiana,12
Lawrence Pit,Copacabana, Australia,18
Glenn Rempe,San Francisco, CA,37
Peter Cooper,Cambridge, UK,564
Ministry Centered Technologies,Carlsbad, CA,0
Aaron Farnham,Houston, TX,13
Garry Dolley,Los Angeles,18
Cristi Balan,Bucharest,72
Mark Daggett,Kansas City,66
Brian Rosner,Denver, CO,616
Daniel Morrison,Holland, MI,78
Daniel Haran,Montreal, QC, Canada,68
Kevin Smith,SF,73
Collective Idea,Holland, MI,0
Duane Johnson,Salt Lake City, UT, USA,60
Nathan Sutton,Milwaukee, WI,44
Dean Strelau,Chicago,54
Sunny Ripert,Paris, France,94
Dan Kub,Mission, BC, Canada,442
Jonas Nicklas,Sweden,709
Rich Collins,San Francisco,36
