464364;plazom;Prague;0;0
464370;aftermath-vc;New York City;0;1
464375;mgaunard;London;6;22
464376;gtqgtq;Stockholm; Sweden;3;1
464379;scottleaw;Singapore;1;1
464389;brian-c;Chicago  Oxford;19;55
464390;longkaty;shenzhen china;0;2
464391;niknjegovan;Chicago; IL;2;1
464394;larsbutler;Zrich; Switzerland;17;115
464396;alycecil;United States;4;20
464404;foobarlab;Augsburg; Germany;1;4
464406;olarn;Bangkok; Thailand;2;18
464409;jeffreyrr;San Francisco; CA;2;8
464415;adanilova;Moscow; Russia;2;2
464416;carranzafp;Mexico;2;4
464420;himafacebook;New Delhi;0;3
464423;NemesisVex;Seattle; WA;1;30
464425;g9020;Port Hueneme;2;6
464428;dudulacerda;Salvador; BA. Brasil.;1;3
464429;Visualq;Netherlands;3;3
464435;0sung1;South Korea;4;7
464441;hawkrives;Minnesota; USA;24;88
464444;huysal;Ulm; DE;2;0
464447;mike-engel;Longmont; CO;19;16
464448;stianhj;Bergen; Norway;3;1
464450;deavon;San Francisco; CA;8;8
464451;cblair;Moscow; ID USA;1;22
464453;igorglotov;Menlo Park; SF Bay Area;5;12
464457;drupalmodule;Austin; TX;1;10
464458;idachev;Bulgaria;7;2
464461;amontenegro;Costa Rica;4;4
464463;semudu;stanbul;9;14
464468;tudo75;Rome; Italy;1;8
464472;sqrn;Sochaczew;0;14
464480;grendaseba1;Bandung;0;0
464482;spikeheap;Oxford;14;42
464483;cobaltolabs;Bogot; Colombia;3;5
464487;hduregger;Austria;1;5
464492;angrycub;Tallahssee; FL;9;32
464493;rjsmelo;Dublin;3;30
464499;KELightsey;United States;0;4
464502;TheSpend;Athens; GA;3;4
464508;jeffbobula;NYC;0;1
464509;dfratte;MDZ; Argentina;0;2
464511;misterku;Moscow; RU;6;1
464513;aztecapps;United States;0;3
464516;cihancimen;Burlingame; CA;2;4
464519;mircealungu;Bern; Switzerland;13;31
464520;qasimsqm;Lahore; Pakistan;0;4
464521;sstraus;Asolo TV;1;20
464531;aaronmccall;Sandpoint; ID;28;73
464538;JStradtman;St. Paul; Minnesota;0;0
464545;kstarski;Poland;20;5
464549;linepogl;Paris;1;10
464558;offshore;Russian Federation;2;2
464561;petrohi;Palo Alto; CA;22;9
464563;forcedotcom;San Francisco; CA;0;102
464565;coding-chimp;Berlin;4;15
464569;mergeweb;Greenville; SC;3;8
464570;cbfranklin;United States;8;46
464571;auspex;Musquodoboit Harbour; NS;3;12
464574;ZevEisenberg;Boston; MA;41;50
464577;ckarcz;NYC;2;17
464578;tiemez;Ulft; Netherlands;3;1
464580;karpinsn;Ames; IA;11;22
464582;clintberry;Utah;43;38
464583;gfred;Hamburg; Germany;8;7
464589;trondkla;Trondheim; Norway;13;34
464594;realistiQ;Las Vegas; NV USA;1;0
464596;frow;Munich;1;9
464597;weitzner;Baltimore; MD;21;8
464599;Cito;Heidelberg; Germany;4;31
464602;arr-dev;Kragujevac; Serbia;0;22
464605;waustin;Little Rock; AR;4;22
464614;mindloaf;San Francisco;3;0
464623;lkrzanik;Krakow; Poland;1;0
464625;kiike;Barcelona; Spain;4;24
464629;jeffesp;Columbus; OH;0;21
464632;gonzzor;Sweden;9;9
464636;Stupidus;France;1;7
464639;jsvana;California;26;40
464645;Aleksandar123;Gevgelija; Macedonia;3;5
464648;austin987;Austin; TX;5;18
464655;nwolek;Florida; USA;11;2
464659;jimmidyson;Romsey; UK;43;121
464663;alexa-infra;Stuttgart; Germany;8;21
464670;tamimitchell;Logan; UT;1;8
464673;JDqv;Riga; Latvia;2;1
464679;dakotasmith;Austin; Texas;18;5
464680;maximsch2;Seattle; WA;1;32
464682;codyangell;Grand Rapids; Mi;0;0
464684;jefflagasca;Brooklyn; NY;0;0
464687;nicosuave;Irvine;16;31
464689;ksex;New York; NY ;9;4
464693;sonofskywalker3;Greenville SC;0;3
464699;carbontwelve;United Kingdom;20;60
464703;Guiswa;Seattle; WA;9;4
464704;AlexSzatmary;Baltimore;1;3
